UH,UTS,UAS
50,61,64
90,54,64
60,71,68
70,58,71
20,27,53
50,44,61
50,17,49
70,61,73
90,61,86
70,38,71
20,51,53
50,53,64
40,68,65
80,61,68
70,35,70
50,43,73
60,69,89
20,43,61
30,63,52
80,53,61
80,88,80
20,59,65
90,81,83
40,29,48
80,71,80
70,59,75
60,79,74
40,14,33
40,69,69
20,57,72
30,93,100
60,84,98
30,35,64
50,41,43
50,36,46
10,24,40
60,46,65
30,17,29
40,23,37
10,29,47
40,43,37
40,40,59
20,42,50
60,43,50
40,39,35
40,31,54
20,35,62
40,33,57
60,43,61
30,37,66
60,35,61
50,69,74
80,43,63
30,77,87
30,31,56
30,57,69
50,42,55
60,16,46
50,34,47
30,64,84
50,47,74
60,43,53
50,57,74
30,77,70
